model,fold,mae,rmse,r2
linear_regression,1,10.307341961105587,12.879112793620298,0.845207481745166
linear_regression,2,9.61867112455364,12.048359855337738,0.9049024534660898
linear_regression,3,9.679841394462876,12.087387447141884,0.9051058312846413
linear_regression,4,9.469580203680781,11.916591657602032,0.8692092477211892
linear_regression,5,9.458437062153823,11.843715319815827,0.9077328451952598
random_forest,1,7.238222071159406,9.789259536787373,0.9105711269569414
random_forest,2,4.700569265091482,6.118687455273591,0.9754738154712759
random_forest,3,4.45514013579868,5.825890441022699,0.9779555500996604
random_forest,4,4.209185632246575,5.609162406742112,0.9710219637347094
random_forest,5,4.436640368786088,5.785700093321396,0.9779817375273497
xgboost,1,7.890002727508545,10.691751983928539,0.8933217525482178
xgboost,2,3.9328856468200684,5.011343295988514,0.9835478663444519
xgboost,3,3.8478963375091553,4.923923223682486,0.9842530488967896
xgboost,4,3.6758110523223877,4.784908515589768,0.9789127111434937
xgboost,5,3.861309289932251,4.921060161654602,0.9840710163116455
